Perfil,X,Y
1,338002.646,6334743.58
2,337984.279,6334735.443
3,337965.797,6334726.575
4,337947.234,6334719.804
5,337928.633,6334712.42
6,337909.95,6334703.722
7,337892.028,6334695.944
8,337873.669,6334688.492
9,337855.149,6334680.716
10,337837.066,6334672.614
11,337818.627,6334664.446
12,337799.983,6334656.362
13,337781.817,6334648.054
14,337764.748,6334639.871
15,337746.262,6334630.621
16,337727.219,6334624.367
17,337708.208,6334616.042
18,337690.109,6334607.677
19,337673.022,6334598.634
20,337654.522,6334590.611
21,337635.866,6334582.351
22,337619.175,6334571.932
23,337599.769,6334566.688
24,337580.457,6334559.172
25,337562.316,6334550.705
26,337543.904,6334542.975
27,337526.083,6334534.558
28,337507.215,6334527.401
29,337489.605,6334518.988
30,337471.052,6334510.687
31,337452.554,6334503.261
32,337435.237,6334493.354
33,337416.656,6334485.722
34,337397.714,6334477.938
35,337379.472,6334470.109
36,337362.035,6334461.088
37,337343.384,6334454.023
38,337324.032,6334447.002
39,337306.286,6334438.106
40,337288.344,6334430.575
41,337269.79,6334421.676
42,337250.869,6334414.242
43,337232.802,6334406.402
44,337214.656,6334397.847
45,337196.745,6334390.244
46,337178.118,6334381.315
47,337159.937,6334373.342
48,337141.311,6334366.118
49,337123.234,6334358.103
50,337104.69,6334349.38
51,337086.024,6334340.945
52,337068.829,6334333.561
53,337049.3,6334325.953
54,337031.459,6334317.783
55,337012.856,6334309.802
56,336995.04,6334301.472
57,336976.619,6334292.46
58,336958.583,6334284.548
59,336940.444,6334276.678
60,336922.328,6334268.051
61,336903.687,6334259.456
62,336885.458,6334252.4
63,336866.955,6334244.887
64,336849.037,6334235.492
65,336830.767,6334228.333
66,336812.896,6334219.128
67,336794.768,6334211.433
68,336775.773,6334203.37
69,336757.326,6334195.625
70,336739.991,6334186.562
71,336721.049,6334178.777
72,336702.715,6334171.166
73,336690.21,6334165.687
